property_id,street_address,city,city_encoded,num_bedrooms,num_bathrooms,square_feet,price,image_filename
1,124 C Street W,"Brawley, CA",48,3,2,713,228500,1.jpg
4,2207 R Carrillo Court,"Calexico, CA",55,4,3,2547,385100,4.jpg
6,1100 CAMILIA Street,"Calexico, CA",55,4,3,2769,415000,6.jpg
7,803 Chaparral Court,"Brawley, CA",48,5,2.1,2600,545000,7.jpg
8,803 Chaparral Court,"Brawley, CA",48,5,2.1,2600,545000,8.jpg
9,2306 Lark Court,"Salton City, CA",317,4,5.1,3932,690000,9.jpg
10,38833 Gorman Post Road,"Gorman, CA",129,3,2.1,4044,1350000,10.jpg
11,8072 Cuddy Valley Road,"Frazier Park, CA",122,5,5.1,6247,1499000,11.jpg
15,8072 Cuddy Valley Road,"Frazier Park, CA",122,5,5.1,6247,1499000,15.jpg
16,11265 Steinhoff Road,"Frazier Park, CA",122,3,3.1,4597,1550000,16.jpg
17,12471 Boy Scout Camp Road,"Frazier Park, CA",122,8,3.1,4236,1850000,17.jpg
18,0 Oak Creek rd,"Tehachapi, CA",367,4,1.1,1980,1995000,18.jpg
19,226 Spruce Street,"Tehachapi, CA",367,4,2.1,1967,249950,19.jpg
20,632 Grove Street,"Arvin, CA",20,4,2,1573,205000,20.jpg
21,9225 Rea Avenue,"California City, CA",57,5,3,2065,249000,21.jpg
22,6005 N charmain,"Bakersfield, CA",24,3,2,1087,195000,22.jpg
23,3405 San Carlos,"Frazier Park, CA",122,3,2,1400,229000,23.jpg
24,19800 Nonie Court,"California City, CA",57,3,2,1533,229000,24.jpg
25,11001 Meacham Road,"Bakersfield, CA",24,2,1,966,239900,25.jpg
26,3933 Encino,"Frazier Park, CA",122,3,2.1,1760,235000,26.jpg
27,347 Cypress Street,"Bakersfield, CA",24,3,2,1478,239900,27.jpg
28,3305 Reeder Avenue,"Bakersfield, CA",24,4,3,1876,240000,28.jpg
29,2001 WILLIAM F. HALSEY Avenue,"Bakersfield, CA",24,3,2,1820,239990,29.jpg
30,1835 Kavalier Ct,"Bakersfield, CA",24,3,2,1873,219000,30.jpg
31,3409 Glendower Street,"Rosamond, CA",312,3,2,1265,220000,31.jpg
32,2013 College Drive,"Delano, CA",99,3,1,1364,199500,32.jpg
33,8308 Ailanthus Court,"Bakersfield, CA",24,3,2,1004,224990,33.jpg
34,11801 Pasture Avenue,"Tehachapi, CA",367,4,3.1,3648,249000,34.jpg
35,8315 Hemlock Court,"Bakersfield, CA",24,3,2.1,1608,250000,35.jpg
36,2131 OAK Street,"Rosamond, CA",312,3,2,1504,225000,36.jpg
38,21413 Yerba Boulevard,"California City, CA",57,5,3,2190,234900,38.jpg
39,2822 Dixie Street,"Rosamond, CA",312,3,2,1500,245000,39.jpg
40,9224 Evelyn Avenue,"California City, CA",57,3,2,1410,198000,40.jpg
41,2504 Lebec Oaks Road,"Lebec, CA",196,3,2,1152,199900,41.jpg
42,16521 Mil Potrero,"Pine Mountain Club, CA",282,3,2,1440,235000,42.jpg
43,200 Oak Street,"Frazier Park, CA",122,2,2,1008,216500,43.jpg
44,21110 S. Charlene Place,"California City, CA",57,3,2,1562,225000,44.jpg
45,15808 Mil Potrero,"Pine Mountain Club, CA",282,2,1,974,210000,45.jpg
46,14700 Tumbleweed Place,"Frazier Park, CA",122,3,1.1,1440,219000,46.jpg
